# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Jul 20 10:20:22 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 CO2 CH4 CO HCN Rayleigh CIA
2.410000000e-01 6.95146e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.95146e-02 9.99999e-01
2.420000000e-01 7.26268e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.26268e-02 9.99999e-01
2.430000000e-01 7.58104e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.58104e-02 9.99999e-01
2.440000000e-01 7.90645e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.90645e-02 9.99999e-01
2.450000000e-01 8.23879e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.23879e-02 9.99999e-01
2.460000000e-01 8.57797e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.57797e-02 9.99999e-01
2.470000000e-01 8.92387e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.92387e-02 9.99999e-01
2.480000000e-01 9.27636e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.27636e-02 9.99999e-01
2.490000000e-01 9.63532e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.63532e-02 9.99999e-01
2.500000000e-01 1.00006e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.00006e-01 9.99999e-01
2.510000000e-01 1.03721e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.03721e-01 9.99999e-01
2.520000000e-01 1.07497e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.07497e-01 9.99999e-01
2.530000000e-01 1.11332e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.11332e-01 9.99999e-01
2.540000000e-01 1.15225e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.15225e-01 9.99999e-01
2.550000000e-01 1.19173e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.19173e-01 9.99999e-01
2.560000000e-01 1.23177e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.23177e-01 9.99999e-01
2.570000000e-01 1.27234e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.27234e-01 9.99999e-01
2.580000000e-01 1.31342e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.31342e-01 9.99999e-01
2.590000000e-01 1.35501e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.35501e-01 9.99999e-01
2.600000000e-01 1.39707e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.39707e-01 9.99999e-01
2.610000000e-01 1.43961e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.43961e-01 9.99999e-01
2.620000000e-01 1.48259e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.48259e-01 9.99999e-01
2.630000000e-01 1.52601e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.52601e-01 9.99999e-01
2.640000000e-01 1.56985e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.56985e-01 9.99999e-01
2.650000000e-01 1.61409e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.61409e-01 9.99999e-01
2.660000000e-01 1.65871e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.65871e-01 9.99999e-01
2.670000000e-01 1.70371e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.70371e-01 9.99999e-01
2.680000000e-01 1.74905e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.74905e-01 9.99999e-01
2.690000000e-01 1.79473e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.79473e-01 9.99999e-01
2.700000000e-01 1.84073e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.84073e-01 9.99999e-01
2.710000000e-01 1.88703e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.88703e-01 9.99999e-01
2.720000000e-01 1.93362e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.93362e-01 9.99999e-01
2.730000000e-01 1.98048e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.98048e-01 9.99999e-01
2.740000000e-01 2.02759e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.02759e-01 9.99999e-01
2.750000000e-01 2.07494e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.07494e-01 9.99999e-01
2.760000000e-01 2.12251e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.12251e-01 9.99999e-01
2.770000000e-01 2.17029e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.17029e-01 9.99999e-01
2.780000000e-01 2.21826e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.21826e-01 9.99999e-01
